Year,Geography,Product category,GeoCode,Value
2018,Saskatchewan,Other products,47,1.77
2018,Alberta,"Total, all product categories",48,1.42
2018,Alberta,Construction materials,48,1.17
2018,Alberta,Electrical and electronic equipment,48,1.02
2018,Alberta,Packaging,48,1.35
2018,Alberta,Agriculture film,48,1.2
2018,Alberta,Textiles,48,1.09
2018,Alberta,Transportation vehicles,48,1.24
2018,Alberta,Other products,48,1.8
2018,British Columbia,"Total, all product categories",59,1.4
2018,British Columbia,Construction materials,59,1.17
2018,British Columbia,Electrical and electronic equipment,59,0.94
2018,British Columbia,Packaging,59,1.35
2018,British Columbia,Agriculture film,59,1.19
2018,British Columbia,Textiles,59,1.09
2018,British Columbia,Transportation vehicles,59,1.24
2018,British Columbia,Other products,59,1.81
2018,Yukon,"Total, all product categories",60,2.06
2018,Yukon,Construction materials,60,1.11
2018,Yukon,Electrical and electronic equipment,60,0.96
2018,Yukon,Packaging,60,1.37
2018,Yukon,Agriculture film,60,0.0
2018,Yukon,Textiles,60,0.98
2018,Yukon,Transportation vehicles,60,5.0
2018,Yukon,Other products,60,1.71
2018,Northwest Territories,"Total, all product categories",61,2.34
2018,Northwest Territories,Construction materials,61,1.3
2018,Northwest Territories,Electrical and electronic equipment,61,0.93
2018,Northwest Territories,Packaging,61,1.34
2018,Northwest Territories,Agriculture film,61,0.0
2018,Northwest Territories,Textiles,61,0.97
2018,Northwest Territories,Transportation vehicles,61,5.82
2018,Northwest Territories,Other products,61,1.71
2018,Nunavut,"Total, all product categories",62,2.13
2018,Nunavut,Construction materials,62,0.92
2018,Nunavut,Electrical and electronic equipment,62,0.62
2018,Nunavut,Packaging,62,1.34
2018,Nunavut,Textiles,62,1.31
2018,Nunavut,Transportation vehicles,62,3.78
2018,Nunavut,Other products,62,1.56
2018,Canadian territorial enclaves abroad,"Total, all product categories",,6.35
2018,Canadian territorial enclaves abroad,Construction materials,,4.76
2018,Canadian territorial enclaves abroad,Electrical and electronic equipment,,6.54
2018,Canadian territorial enclaves abroad,Packaging,,6.39
2018,Canadian territorial enclaves abroad,Textiles,,6.18
2018,Canadian territorial enclaves abroad,Transportation vehicles,,6.85
2018,Canadian territorial enclaves abroad,Other products,,6.29
2019,Canada,Construction materials,,1.17
2019,Canada,Electrical and electronic equipment,,1.0
2019,Canada,Electronics,,1.07
2019,Canada,Major appliances,,0.31
2019,Canada,Other electrical and electronic equipment,,1.06
2019,Canada,Packaging,,1.35
2019,Canada,Bottles,,1.36
2019,Canada,Film,,1.35
2019,Canada,Non-bottle rigid,,1.35
2019,Canada,Other packaging products,,1.35
2019,Canada,Agriculture film,,1.2
2019,Canada,Textiles,,1.09
2019,Canada,Transportation vehicles,,1.35
2019,Canada,Light-duty vehicles,,1.42
2019,Canada,Other transportation vehicles,,1.26
2019,Canada,Other products,,1.81
2019,Newfoundland and Labrador,"Total, all product categories",10,2.56
2019,Newfoundland and Labrador,Construction materials,10,1.19
2019,Newfoundland and Labrador,Electrical and electronic equipment,10,0.99
2019,Newfoundland and Labrador,Packaging,10,1.35
2019,Newfoundland and Labrador,Agriculture film,10,1.36
2019,Newfoundland and Labrador,Textiles,10,1.09
2019,Newfoundland and Labrador,Transportation vehicles,10,6.17
2019,Newfoundland and Labrador,Other products,10,1.76
2019,Prince Edward Island,"Total, all product categories",11,1.38
2019,Prince Edward Island,Construction materials,11,1.29
2019,Prince Edward Island,Electrical and electronic equipment,11,0.91
2019,Prince Edward Island,Packaging,11,1.35
2019,Prince Edward Island,Agriculture film,11,1.2
2019,Prince Edward Island,Textiles,11,1.04
2019,Prince Edward Island,Transportation vehicles,11,1.24
2019,Prince Edward Island,Other products,11,1.78
2019,Nova Scotia,"Total, all product categories",12,1.37
2019,Nova Scotia,Construction materials,12,1.17
2019,Nova Scotia,Electrical and electronic equipment,12,0.94
2019,Nova Scotia,Packaging,12,1.35
2019,Nova Scotia,Agriculture film,12,1.2
2019,Nova Scotia,Textiles,12,1.09
2019,Nova Scotia,Transportation vehicles,12,1.24
2019,Nova Scotia,Other products,12,1.79
2019,New Brunswick,"Total, all product categories",13,1.39
